"id","paper_id","title","url","abstract","topic"
"10","1521325.1521326","Scientific Review: A new insight on predicting tumour malignancies using synergistic computational intelligence and bioinformatics approaches","http://dl.acm.org/citation.cfm?id=1521325.1521326","Recently, the National Human Genome Research Institute and National Cancer Institute, both part of NIH, US Department of Health and Human Services, have launched The Cancer Genome Atlas (TCGA). Based on the mission of TCGA, we have proposed a further parallel paradigm on cancer: it is not only the genetic changes (i.e., mutations of genes) but also changes of gene expressions and regulatory networks that are ultimately responsible for cancer development. Under this parallel paradigm, un-mutated genes with differential expressions and alternative splicing may also induce changes in the differential regulatory networks that also cause cancer when cells are subjected to unusual environments. We developed a novel synergistic computational intelligence and bioinformatics approach to predict malignancies of neuroendocrine tumours that are particularly important to discover the mechanisms of human genome mechanisms relating malignant transformation.","bioinformatics"
"11","1356595.1356600","Analysing the performance of personal computers based on Intel microprocessors for sequence aligning bioinformatics applications","http://dl.acm.org/citation.cfm?id=1356595.1356600","Aligning specific sequences against a very large number of other sequences is a central aspect of bioinformatics. With the widespread availability of personal computers in biology laboratories, sequence alignment is now often performed locally. This makes it necessary to analyse the performance of personal computers for sequence aligning bioinformatics benchmarks. In this paper, we analyse the performance of a personal computer for the popular BLAST and FASTA sequence alignment suites. Results indicate that these benchmarks have a large number of recurring operations and use memory operations extensively. It seems that the performance can be improved with a bigger L1-cache.","bioinformatics"
"12","820189.820218","An empirical comparison of supervised machine learning techniques in bioinformatics","http://dl.acm.org/citation.cfm?id=820189.820218","Research in bioinformatics is driven by the experimental data. Current biological databases are populated by vast amounts of experimental data. Machine learning has been widely applied to bioinformatics and has gained a lot of success in this research area. At present, with various learning algorithms available in the literature, researchers are facing difficulties in choosing the best method that can apply to their data. We performed an empirical study on 7 individual learning systems and 9 different combined methods on 4 different biological data sets, and provide some suggested issues to be considered when answering the following questions: (i) How does one choose which algorithm is best suitable for their data set? (ii) Are combined methods better than a single approach? (iii) How does one compare the effectiveness of a particular algorithm to the others?","bioinformatics"
"13","2147805.2147881","Gaussian logic and its applications in bioinformatics","http://dl.acm.org/citation.cfm?id=2147805.2147881","We describe a novel statistical relational learning framework capable to work efficiently with combinations of relational and numerical data which is especially valuable in bioinformatics applications. We show how this model can be applied to modelling of gene expression data and to problems from proteomics.","bioinformatics"
"14","2649387.2660852","A taxonomy for bioinformatics tools: exploiting semantics, parallelism, and services for analyzing omics data","http://dl.acm.org/citation.cfm?id=2649387.2660852","The overwhelming availability of omics data poses new challenges to bioinformatics applications, such as the efficient storage, preprocessing, and analysis of experimental data; the building of reproducible 'in silico' experiments; the annotation of omics data with terms extracted from ontologies; and the integration of omics and clinical data. We present BioTax, a taxonomy for bioinformatics tools, and its web-based system that users can access either to query the taxonomy and retrieve metadata about bioinformatics tools, or to submit and classify new bioinformatics tools according to the taxonomy itself. BioTax is implemented by using the OWL Web Ontology Language and currently it classifies 14 bioinformatics tools. BioTax can help both decision makers as well as application designers in choosing bioinformatics tools during the development of complex biomedical applications and in better understanding their strengths and weaknesses in the various stages of the bioinformatics analysis pipeline.","bioinformatics"
"15","2081752.2081760","Bioinformatics data source integration based on semantic relationships across species","http://dl.acm.org/citation.cfm?id=2081752.2081760","Bioinformatics databases are heterogeneous, differ in their representation as well as in their query capabilities across diverse information held in distributed autonomous resources. Current approaches to integrating heterogeneous bioinformatics data sources are based on one of a: common field, ontology or cross-reference. In this paper we investigate the use of semantic relationships across species to link, integrate and annotate genes from publicly available data sources and a novel Soft Link approach is introduced, to link information across species held in biological databases, through providing a flexible method of joining related information from different databases, including non-bioinformatics databases. A measure of relationship closeness will afford a biologist a new tool in their repertoire for analysis. Soft Links are identified as interrelated concepts and can be used to create a rich set of possible relation types supporting the investigation of alternative hypothesis.","bioinformatics"
"16","1843144.1843155","Cache-Oblivious Dynamic Programming for Bioinformatics","http://dl.acm.org/citation.cfm?id=1843144.1843155","We present efficient cache-oblivious algorithms for some well-studied string problems in bioinformatics including the longest common subsequence, global pairwise sequence alignment and three-way sequence alignment (or median), both with affine gap costs, and RNA secondary structure prediction with simple pseudoknots. For each of these problems, we present cache-oblivious algorithms that match the best-known time complexity, match or improve the best-known space complexity, and improve significantly over the cache-efficiency of earlier algorithms. We present experimental results which show that our cache-oblivious algorithms run faster than software and implementations based on previous best algorithms for these problems.","bioinformatics"
"17","2687034.2687043","Maximum likelihood estimation of GEVD: applications in bioinformatics","http://dl.acm.org/citation.cfm?id=2687034.2687043","We propose a method, maximum likelihood estimation of generalized eigenvalue decomposition (MLGEVD) that employs a well known technique relying on the generalization of singular value decomposition (SVD). The main aim of the work is to show the tight equivalence between MLGEVD and generalized ridge regression. This relationship reveals an important mathematical property of GEVD in which the second argument act as prior information in the model. Thus we show that MLGEVD allows the incorporation of external knowledge about the quantities of interest into the estimation problem. We illustrate the importance of prior knowledge in clinical decision making/identifying differentially expressed genes with case studies for which microarray data sets with corresponding clinical/literature information are available. On all of these three case studies, MLGEVD outperformed GEVD on prediction in terms of test area under the ROC curve (test AUC). MLGEVD results in significantly improved diagnosis, prognosis and prediction of therapy response.","bioinformatics"
"18","2032098.2032121","A knowledge based decision support system for bioinformatics and system biology","http://dl.acm.org/citation.cfm?id=2032098.2032121","In this paper, we present a new Decision Support System for Bioinformatics and System Biology issues. Our system is based on a Knowledge base, representing the expertise about the application domain, and a Reasoner. The Reasoner, consulting the Knowledge base and according to the user's request, is able to suggest one or more strategies in order to resolve the selected problem. Moreover, the system can build, at different abstraction layers, a workflow for the current problem on the basis of the user's choices, freeing the user from implementation details and assisting him in the correct configuration of the algorithms. Two possible application scenarios will be introduced: the analysis of protein-protein interaction networks and the inference of gene regulatory networks.","bioinformatics"
"19","2165590.2165592","Pattern recognition in bioinformatics: an introduction","http://dl.acm.org/citation.cfm?id=2165590.2165592","The information stored in DNA, a chain of four nucleotides (A, T, G, and C), is first converted to mRNA through the process of transcription and then converted to the functional form of life, proteins, through the process of translation. Only about 5% of the genome contains useful patterns of nucleotides, or genes, that code for proteins. The initiation of translation or transcription process is determined by the presence of specific patterns of DNA or RNA, or motifs. Research on detecting specific patterns of DNA sequences such as genes, protein coding regions, promoters, etc., leads to uncover functional aspects of cells. Comparative genomics focus on comparisons across the genomes to find conserved patterns over the evolution, which possess some functional significance. Construction of evolutionary trees is useful to know how genome and proteome are evolved over all species by ways of a complete library of motifs and genes.","bioinformatics"
"20","1759681.1759707","Extensions of naive bayes and their applications to bioinformatics","http://dl.acm.org/citation.cfm?id=1759681.1759707","In this paper we will study the nave Bayes, one of the popular machine learning algorithms, and improve its accuracy without seriously affecting its computational efficiency. Nave Bayes assumes positional independence, which makes the computation of the joint probability value easier at the expense of the accuracy or the underlying reality. In addition, the prior probabilities of positive and negative instances are computed from the training instances, which often do not accurately reflect the real prior probabilities. In this paper we address these two issues. We have developed algorithms that automatically perturb the computed prior probabilities and search around the neighborhood to maximize a given objective function. To improve the prediction accuracy we introduce limited dependency on the underlying pattern. We have demonstrated the importance of these extensions by applying them to solve the problem in discriminating a TATA box from putative TATA boxes found in promoter regions of plant genome. The best prediction accuracy of a nave Bayes with 10 fold cross validation was 69% while the second extension gave the prediction accuracy of 79% which is better than the best solution from an artificial neural network prediction.","bioinformatics"
"21","1880631.1880647","Basics of game theory for bioinformatics","http://dl.acm.org/citation.cfm?id=1880631.1880647","In this 'tutorial' it is offered a quick introduction to game theory and to some suggested readings on the subject. It is also considered a small set of game theoretical applications in the bioinformatics field.","bioinformatics"
"22","1893880.1893889","Enabling annotation provenance in bioinformatics workflow applications","http://dl.acm.org/citation.cfm?id=1893880.1893889","Nowadays, the resulting data of each step of genomic annotation processes are typically used for annotation provenance. However, recent initiatives in the direction of capturing annotation provenance data do not support the Bioinformatics developer on building their own provenance enabled applications. This work proposes the ArCaP architecture, which aims at supporting the development of provenance enabled applications and at facilitating the access to annotation provenance data. Although the focus is on Bioinformatics applications, this approach is useful to other scientific domains.","bioinformatics"
"23","2649387.2649429","A Hadoop-Galaxy adapter for user-friendly and scalable data-intensive bioinformatics in Galaxy","http://dl.acm.org/citation.cfm?id=2649387.2649429","In this work we present a strategy to integrate Hadoop-based applications into the Galaxy platform along with an extensible implementation of this adapter and related utilities. The strategy is based on the idea of introducing a new Galaxy datatype that provides a layer of indirection, thus relaxing the requirement to place data on a Galaxy-accessible file system and instead allowing the referenced data to be placed on any addressable space, including the Hadoop Distributed File System or Amazon S3. The adapter supports using Hadoop-based applications as part of Galaxy workflows. We demonstrate a practical application where this Hadoop-Galaxy adapter was used at CRS4 to accelerate the bioinformatics analysis of viral vector integration sites through the introduction of Hadoop-based computation components, while keeping the workflow under control of biologists with little specific technical training.","bioinformatics"
"24","1537772.1537774","Association Analysis Techniques for Bioinformatics Problems","http://dl.acm.org/citation.cfm?id=1537772.1537774","Association analysis is one of the most popular analysis paradigms in data mining. Despite the solid foundation of association analysis and its potential applications, this group of techniques is not as widely used as classification and clustering, especially in the domain of bioinformatics and computational biology. In this paper, we present different types of association patterns and discuss some of their applications in bioinformatics. We present a case study showing the usefulness of association analysis-based techniques for pre-processing protein interaction networks for the task of protein function prediction. Finally, we discuss some of the challenges that need to be addressed to make association analysis-based techniques more applicable for a number of interesting problems in bioinformatics.","bioinformatics"
"25","1854776.1854864","Hunting for truly relevant articles in bioinformatics literature: a preliminary study","http://dl.acm.org/citation.cfm?id=1854776.1854864","For researchers interested in reading articles concerning a specific topic, the current document search techniques, based primarily on keyword matching, are insufficient. They tend to return too many 'hits', most of which are not truly relevant. An individualized text filtering system that can select/recommend useful articles would be a tremendous time-saver for researchers, especially in the field of bioinformatics, in which numerous articles are published daily. Machine learning tools such as text classification may be the answer to this need. This paper describes some preliminary work on developing such a text filtering system. Support Vector Machine is used to classify articles from Journal of Bacteriology to determine whether an article addresses issues related to 'gene function'. Preliminary results, problems, and difficulties encountered are discussed.","bioinformatics"
"27","1614645.1614665","Identification of Proteins from Tuberculin Purified Protein Derivative (PPD) with Potential for TB Diagnosis Using Bioinformatics Analysis","http://dl.acm.org/citation.cfm?id=1614645.1614665","The PPD is widely used for diagnosis of bovine tuberculosis, however it lacks specificity and sensitivity, generally attributed the cross-reactions with antigens shared by other <em>Mycobacterium</em> species. These highlight the necessity of better diagnostic tools to detect tuberculosis in cattle. We have identified proteins present in PPD preparations (avium and bovine PPD) by LC-MS/MS (Liquid Chromatography/Mass Spectrometry/Mass Spectrometry). A total of 169 proteins were identified. From these, four PPD proteins identified in bovine PPD and absent in avium PPD (Mb1961c, Mb2898, Mb2900 and Mb2965c) were select for bioinformatics analysis to identify an antigen with potential for TB diagnosis. We identified Mb1961c, a secreted protein, which has low identity proteins found in environmental mycobacteria. This protein could be used for the development of a diagnostic test or a synthetic PPD for bovine tuberculosis.","bioinformatics"
"28","2718771.2718772","Meta-learning framework applied in bioinformatics inference system design","http://dl.acm.org/citation.cfm?id=2718771.2718772","This paper describes a meta-learner inference system development framework which is applied and tested in the implementation of bioinformatic inference systems. These inference systems are used for the systematic classification of the best candidates for inclusion in bacterial metabolic pathway maps. This meta-learner-based approach utilises a workflow where the user provides feedback with final classification decisions which are stored in conjunction with analysed genetic sequences for periodic inference system training. The inference systems were trained and tested with three different data sets related to the bacterial degradation of aromatic compounds. The analysis of the meta-learner-based framework involved contrasting several different optimisation methods with various different parameters. The obtained inference systems were also contrasted with other standard classification methods with accurate prediction capabilities observed.","bioinformatics"
"29","820189.820194","Oracle's technology for bioinformatics and future directions","http://dl.acm.org/citation.cfm?id=820189.820194","The Oracle relational database management system, with object-oriented extensions and numerous application-driven enhancements, plays a critical role worldwide in managing the exploding volumes of bioinformatics data. There are many features of the Oracle product which support the bioinformatics community directly already and there are several features that could be exploited more thoroughly by users, service vendors, and Oracle itself to extend that level of support. This paper will present an overview of Oracle features that support storage of bioinformatics data and will discuss extensibility features that give the product room to grow. Some attention will be given to Oracle's own efforts to use that extensibility to make commodities of many of the complex data and computation requirements of the life sciences.","bioinformatics"
"31","1544177.1544195","Parallel Clustering Algorithm for Large Data Sets with Applications in Bioinformatics","http://dl.acm.org/citation.cfm?id=1544177.1544195","Large sets of bioinformatical data provide a challenge in time consumption while solving the cluster identification problem, and that is why a parallel algorithm is so needed for identifying dense clusters in a noisy background. Our algorithm works on a graph representation of the data set to be analyzed. It identifies clusters through the identification of densely intraconnected subgraphs. We have employed a minimum spanning tree (MST) representation of the graph and solve the cluster identification problem using this representation. The computational bottleneck of our algorithm is the construction of an MST of a graph, for which a parallel algorithm is employed. Our high-level strategy for the parallel MST construction algorithm is to first partition the graph, then construct MSTs for the partitioned subgraphs and auxiliary bipartite graphs based on the subgraphs, and finally merge these MSTs to derive an MST of the original graph. The computational results indicate that when running on 150 CPUs, our algorithm can solve a cluster identification problem on a data set with 1,000,000 data points almost 100 times faster than on single CPU, indicating that this program is capable of handling very large data clustering problems in an efficient manner. We have implemented the clustering algorithm as the software CLUMP.","bioinformatics"
"32","820189.820190","From informatics to bioinformatics","http://dl.acm.org/citation.cfm?id=820189.820190","Informatics has helped in launching molecular biology into the genomic era. It appears certain that informatics will continue to be a major factor in the success of molecular biology in the post-genome era. In this paper, we describe advances made in data integration and data mining technologies that are relevant to molecular biology and biomedical sciences. In particular, we discuss some past and present research results on topics such as (a) the taming of autonomous heterogeneous distributed data sources, (b) the prediction of immunogenic peptides, (c) the discovery of gene structure features, (d) the classification of gene expression profiles, and (e) the extraction of protein interaction information from literature.","bioinformatics"
"33","1779957.1779974","Bioinformatics on -barrel membrane proteins: sequence and structural analysis, discrimination and prediction","http://dl.acm.org/citation.cfm?id=1779957.1779974","The analysis on the amino acid sequences of transmembrane beta barrel proteins (TMBs) provides deep insights about their structure and function. We found that the occurrence of Ser, Asn and Gln is significantly higher in TMBs than globular proteins, which might be due to their importance in the formation of -barrel structures in the membrane, stability of binding pockets and the function of TMBs. Utilizing this information, we have devised statistical methods and machine learning techniques to discriminate TMBs from other folding types of globular and membrane proteins and we obtained the maximum accuracy of 96%. Further, we have devised protocols for identifying the membrane spanning -strand segments and detecting TMBs in genomic sequences.","bioinformatics"
"34","1573222.1573421","Intuitive Bioinformatics for Genomics Applications: Omega-Brigid Workflow Framework","http://dl.acm.org/citation.cfm?id=1573222.1573421","The recent developments in life sciences and technology have produced large amounts of data in an extremely fast and cost-efficient way which require the development of new algorithms, coupled with massively parallel computing. Besides, biologists are usually non-programmers, thus demanding intuitive computer applications that are easy to use by means of a friendly GUI. In addition, different algorithms, databases and other tools usually lie on incompatible file formats, applications, operating systems and hardware platforms. It is therefore of paramount importance to overcome such limitations, so that bioinformatics becomes much more widely used amongst biologists. The main goal of our research project is to unify many of these existing bioinformatics applications and resources (local and remote) in one easy-to-use environment, independent of the computing platform, being a concentrator resource tool with a friendly interface. To achieve this, we propose a tool based on a new, open, free and well-documented architecture called Biomniverso. Two main elements make up such a tool: its kernel (Omega), which supplies services specifically adapted to allow the addition of new bioinformatics functionalities by means of plugins (like Minerva, which makes easy to detect SNP amongst a set of genomic data to discover fraudulent olive oil), and the interface (Brigid), which allows even non-programmer laboratory scientists to chain different processes into workflows and customize them without code writing.","bioinformatics"
"35","2447509.2447510","Meropenem: a potent drug against superbug as unveiled through bioinformatics approaches","http://dl.acm.org/citation.cfm?id=2447509.2447510","Global spread of multi-drug resistant bacteria like Klebsiella pneumoniae and Escherichia coli have raised the alarm for researchers and doctors throughout the world. This new mechanism of resistance and the ability of ndm-1 gene to be transferred between the species may end the era of antibiotics treatment. Carbapenems are reliable drugs against many multi-resistant gram-negative pathogens. A 3-D homology model of NDM-1 was built and analysed for elucidation of functional site and binding interactions. This study revealed that meropenem has good interaction with the active sites of the receptor that could retard the spread of antibiotic resistant bacteria.","bioinformatics"
"36","1651318.1651320","Data mining in bioinformatics: challenges and opportunities","http://dl.acm.org/citation.cfm?id=1651318.1651320","In this talk I will discuss some data mining techniques and methods in the bioinformatics domain, what are the main challenges and what are the opportunities. I will cover some of the issues related to biomedical literature mining, bioinformatics data integration and biological network analysis and simulation. In biomedical literature mining, I will discuss the effective information retrieval and large-scale information extraction from biomedical literatures. I will also share my view of the semantic-based approach for data integration for bioinformatics domain. In the end, I will talk about the various approaches for biological network analysis and simulation.","bioinformatics"
"37","1963526.1963530","Predictions of flexible C-terminal tethers of bacterial proteins with the FLEXTAIL bioinformatics pipeline","http://dl.acm.org/citation.cfm?id=1963526.1963530","Proteins use conserved binding motifs associated with relatively unconserved flexible amino acid sequences as mobile tethers for interacting molecules, as exemplified by C-terminal sequences of bacterial chemotaxis receptors. The FLEXTAIL bioinformatics pipeline predicts flexible tethers and their binding motifs based on the properties of flexibility and sequence conservation. In four groups of bacterial genomes, the algorithm identified  100 putative binding domains, including verifying the known bacterial chemotaxis receptor   NWETF binding motif. Some potential C-terminal flexible regions that have not previously been recognised to function as protein tethers were found and should be investigated further for binding targets and flexibility.","bioinformatics"
"38","2649387.2660796","High-performance recursive dynamic programming for bioinformatics using MM-like flexible kernels","http://dl.acm.org/citation.cfm?id=2649387.2660796","Dynamic Programming (DP) provides optimal solutions to a problem by combining optimal solutions to many overlapping subproblems. DP algorithms exploit this overlapping property to explore otherwise exponential-sized problem spaces in polynomial time, making them central to many important applications spanning from logistics to computational biology. In this paper, we present a general strategy of obtaining highly efficient parallel DP implementations using recursive cache-oblivious divide and conquer technique which turns inflexible kernels into flexible ones (kernels that read from and write to disjoint sub-matrices). We solve four non-trivial DP problems widely used in Bioinformatics, namely the parenthesis problem, Floyd-Warshall's all-pairs shortest paths, gap problem and protein accordion folding using recursive cache-oblivious technique that decompose the original inflexible looping kernel to highly optimizable flexible kernels. To the best of our knowledge no such recursive parallel DP algorithms were known for the protein folding and gap problems. The algorithms are hybrid in the same way as most high-performance matrix multiplication algorithms are recursive with iterative base cases. We show that the base cases of these recursive divide-and-conquer algorithms are predominantly matrix-multiplication-like (MM-like) flexible that expose many optimization opportunities not offered by the traditional looping DP codes. Moreover, the most costly/dominating kernel for these problems are often flexible. As a result, one can obtain highly efficient DP implementations by simply optimizing these kernels. We present a few generic optimization steps that suffices to optimize these DP implementations. Our implementations achieve 5--100x speedup over their standard loop based DP counterparts on modern multicore machines. We also present results on manycores (Xeon Phi) and clusters of multicores obtained by simple extensions for SIMD and shared-distributed-shared-memory architectures, respectively.","bioinformatics"
"61","1232954.1233149","Towards a platform for wide-area overlay network deployment and management","http://dl.acm.org/citation.cfm?id=1232954.1233149","This paper presents an experimental set of self-organising mechanisms to support application-level service overlays across the internet. These mechanisms include a base node discovery service and protocol that is resilient to node and network failure, which in turn is a basis for the construction of service-specific overlays. We have also developed a generic service overlay structured according to IP network latencies which uses the GNP virtual coordinate system. We discuss our results and experiences of implementing our platform using an active service infrastructure deployed on PlanetLab. While we have been successful in meeting many of our aims, we have identified some practical shortcomings with regard to latency estimation accuracy, and scalability of some of our mechanisms to internet size. The paper describes lessons learned from experimental development and deployment.","network"
"62","984622.984650","Lattice sensor networks: capacity limits, optimal routing and robustness to failures","http://dl.acm.org/citation.cfm?id=984622.984650","We study network capacity limits and optimal routing algorithms for regular sensor networks, namely, square and torus grid sensor networks, in both, the static case (no node failures) and the dynamic case (node failures). For static networks, we derive upper bounds on the network capacity and then we characterize and provide optimal routing algorithms whose rate per node is equal to this upper bound, thus, obtaining the exact analytical expression for the network capacity. For dynamic networks, the unreliability of the network is modeled in two ways: a Markovian node failure and an energy based node failure. Depending on the probability of node failure that is present in the network, we propose to use a particular combination of two routing algorithms, the first one being optimal when there are no node failures at all and the second one being appropriate when the probability of node failure is high. The combination of these two routing algorithms defines a family of randomized routing algorithms, each of them being suitable for a given probability of node failure.","network"
"63","1127777.1127813","Sleep scheduling and lifetime maximization in sensor networks: fundamental limits and optimal solutions","http://dl.acm.org/citation.cfm?id=1127777.1127813","Energy efficiency is a very critical consideration in the design of low cost sensor networks which typically have fairly low node battery life. This raises the need for providing periodic sleep cycles for the radios in the sensor nodes. Keeping sensors in sleep state also implies that node to sink communication incurs certain delays and there exists a threshold on the duty cycling for the communication delay to be bounded, giving rise to an upperbound on the lifetime of the network i.e., the time until at least one node in the network is able to communicate its sensed data to the sink. This paper aims at establishing tight analytical bounds on the sleeping probabilities of nodes and on the achievable lifetime of wireless sensor networks in a very generic setting. Bounds on the sleeping probability need to be satisfied for proper network functionality. Further, an energy efficient deployment scheme is suggested wherein the battery power depletion is fairly uniformly deployed throughout the network. This scheme makes use of the availability of low power auxiliary channel listening radio. With this scheme, we shown that an improvement in lifetime by a factor of O(n overlog n) over uniform distribution of nodes is achievable, where n is the number of nodes in the network. We also show that the throughput capacity of the network is also improved by the same factor. We show also that the maximum lifetime of the network is bounded above by O(n3/2 over log n). Further, the accuracy of our analysis is verified by the simulation results presented.","network"
"64","570738.570751","Wireless sensor networks for habitat monitoring","http://dl.acm.org/citation.cfm?id=570738.570751","We provide an in-depth study of applying wireless sensor networks to real-world habitat monitoring. A set of system design requirements are developed that cover the hardware design of the nodes, the design of the sensor network, and the capabilities for remote data access and management. A system architecture is proposed to address these requirements for habitat monitoring in general, and an instance of the architecture for monitoring seabird nesting environment and behavior is presented. The currently deployed network consists of 32 nodes on a small island off the coast of Maine streaming useful live data onto the web. The application-driven design exercise serves to identify important areas of further work in data sampling, communications, network retasking, and health monitoring.","network"
